[📦 通用服务] 1 | AAOP_SERVICE_BCM
[📦 通用服务] 2 | AAOP_SERVICE_DEVICE
[📦 通用服务] 3 | AAOP_SERVICE_DOIPUPGRADE
[📦 通用服务] 4 | AAOP_SERVICE_ETHDIAG
[🚗 车机/IVI] 5 | AAOP_SERVICE_MEDIASCANNER
[📦 通用服务] 6 | AAOP_SERVICE_RADIO
[📦 通用服务] 7 | AAOP_SERVICE_SCREEN
[📦 通用服务] 9 | AccountSystemService
[🚗 车机/IVI] 10 | AdayoAvapService
[🌐 网络/连接] 11 | BlueToothCallService
[📦 通用服务] 12 | CTER_AAOP_SYSTEMSERVICE
[📦 通用服务] 13 | DmsServiceBinderSrv
[📦 通用服务] 14 | DockObserver
[📦 通用服务] 15 | DvrService
[📦 通用服务] 16 | EvsServiceBinderSrv
[📦 通用服务] 19 | ShareInfoNativeService
[📦 通用服务] 21 | SystemServiceBinderSrv
[🚗 车机/IVI] 26 | adayo.aaop_systemservice
[🚗 车机/IVI] 30 | adayo.service.navi.v2.0
[📦 通用服务] 37 | adshmiservice
[📦 通用服务] 43 | android.service.gatekeeper.IGateKeeperService
[📦 通用服务] 51 | avm_service
[🚗 车机/IVI] 62 | car_service
[🚗 车机/IVI] 65 | com.adayo.service.ethdiag.EthDiagService
[🚗 车机/IVI] 66 | com.adayo.service.remotediagnosis
[🚗 车机/IVI] 67 | com.adayo.someipprotocolstackservice
[📦 通用服务] 94 | external_vibrator_service
[📦 通用服务] 139 | network_time_update_service
[📡 传感器/定位] 165 | sensorservice
[📦 通用服务] 166 | serial
[📦 通用服务] 167 | service.dvrservice
[📦 通用服务] 168 | service.guardservice
[📦 通用服务] 169 | servicediscovery
[📦 通用服务] 188 | textservices
[⚡ 电源/电池] 189 | thermalservice
[📦 通用服务] 198 | user
[📦 通用服务] 199 | vendor.perfservice
